"label" "cores" "size" "cores_labels" "N" "times" "sd" "se" "ci"
"10M" 1 10 "1" 3 1325 32.9089653438087 19 81.7504018652398
"10M" 1 10 "1(pl)" 3 2122.66666666667 10.1159939369957 5.84047182264508 25.1295220307287
"10M" 2 10 "2" 3 572.333333333333 3.05505046330389 1.76383420737639 7.58916606719352
"10M" 4 10 "4" 3 299.666666666667 1.15470053837925 0.666666666666667 2.86843515316631
"10M" 8 10 "8" 3 166.666666666667 2.3094010767585 1.33333333333333 5.73687030633262
"10M" 16 10 "16" 3 127.333333333333 1.15470053837925 0.666666666666667 2.86843515316631
"15M" 1 15 "1" 3 1584 27.2213151776324 15.7162336455017 67.6214955961983
"15M" 1 15 "1(pl)" 3 3196.33333333333 29.1433239925259 16.8259059521653 72.3960301755917
"15M" 2 15 "2" 3 828.666666666667 3.05505046330389 1.76383420737639 7.58916606719352
"15M" 4 15 "4" 3 430 2 1.15470053837925 4.96827542350066
"15M" 8 15 "8" 3 250 7 4.04145188432738 17.3889639822523
"15M" 16 15 "16" 3 190.333333333333 8.14452781524708 4.70224532655529 20.2321286902548
"1M" 1 1 "1" 3 115.666666666667 1.52752523165195 0.881917103688197 3.79458303359676
"1M" 1 1 "1(pl)" 3 276.666666666667 2.51661147842358 1.45296631451356 6.25160947937577
"1M" 2 1 "2" 3 62 1 0.577350269189626 2.48413771175033
"1M" 4 1 "4" 3 32 0 0 0
"1M" 8 1 "8" 3 18 0 0 0
"1M" 16 1 "16" 3 13.6666666666667 0.577350269189626 0.333333333333333 1.43421757658315
"20M" 1 20 "1" 3 2107.66666666667 8.32666399786453 4.80740170061865 20.684580050169
"20M" 1 20 "1(pl)" 3 4257 59.0931468107766 34.117444218464 146.795514498649
"20M" 2 20 "2" 3 1135.33333333333 5.85946527708232 3.38296385503074 14.5557186654918
"20M" 4 20 "4" 3 575.666666666667 4.04145188432738 2.33333333333333 10.0395230360821
"20M" 8 20 "8" 3 323 7.21110255092798 4.16333199893227 17.9133717900592
"20M" 16 20 "16" 3 247 3.46410161513775 2 8.60530545949892
"25M" 1 25 "1" 3 2621.66666666667 18.2300118851671 10.5251022692313 45.2858600096003
"25M" 1 25 "1(pl)" 3 5342 29.7153159162073 17.156145643277 73.8169368840252
"25M" 2 25 "2" 3 1411.66666666667 4.93288286231625 2.84800124843918 12.2539603459267
"25M" 4 25 "4" 3 720 1.73205080756888 1 4.30265272974946
"25M" 8 25 "8" 3 403 5.29150262212918 3.05505046330389 13.1448212154569
"25M" 16 25 "16" 3 313 7.54983443527075 4.35889894354067 18.7548284381273
"2M" 1 2 "1" 3 230 1 0.577350269189626 2.48413771175033
"2M" 1 2 "1(pl)" 3 451.333333333333 47.4376784142451 27.3881564021953 117.841725906711
"2M" 2 2 "2" 3 121.666666666667 1.15470053837925 0.666666666666667 2.86843515316631
"2M" 4 2 "4" 3 63.3333333333333 0.577350269189626 0.333333333333333 1.43421757658315
"2M" 8 2 "8" 3 34.6666666666667 0.577350269189626 0.333333333333333 1.43421757658315
"2M" 16 2 "16" 3 26.3333333333333 0.577350269189626 0.333333333333333 1.43421757658315
"30M" 1 30 "1" 3 3156 18.5202591774521 10.6926766215636 46.006874254099
"30M" 1 30 "1(pl)" 3 6408 9.8488578017961 5.68624070307733 24.4659190831082
"30M" 2 30 "2" 3 1685.33333333333 13.8684293751431 8.00694143297621 34.4510884135392
"30M" 4 30 "4" 3 881 10.3923048454133 6 25.8159163784968
"30M" 8 30 "8" 3 492 3 1.73205080756888 7.45241313525099
"30M" 16 30 "16" 3 376.333333333333 4.50924975282289 2.60341655863555 11.2015973626882
"3M" 1 3 "1" 3 342.666666666667 0.577350269189626 0.333333333333333 1.43421757658315
"3M" 1 3 "1(pl)" 3 650.333333333333 6.80685928555405 3.92994204085053 16.9091758498227
"3M" 2 3 "2" 3 182.333333333333 0.577350269189626 0.333333333333333 1.43421757658315
"3M" 4 3 "4" 3 96.3333333333333 1.15470053837925 0.666666666666667 2.86843515316631
"3M" 8 3 "8" 3 53 0 0 0
"3M" 16 3 "16" 3 39.3333333333333 0.577350269189626 0.333333333333333 1.43421757658315
"4M" 1 4 "1" 3 462.333333333333 3.21455025366432 1.85592145427667 7.98538551144412
"4M" 1 4 "1(pl)" 3 857.666666666667 3.51188458428425 2.02758751009941 8.72400493513513
"4M" 2 4 "2" 3 247.666666666667 1.15470053837925 0.666666666666667 2.86843515316631
"4M" 4 4 "4" 3 128 3 1.73205080756888 7.45241313525099
"4M" 8 4 "8" 3 71 1 0.577350269189626 2.48413771175033
"4M" 16 4 "16" 3 53.6666666666667 0.577350269189626 0.333333333333333 1.43421757658315
"5M" 1 5 "1" 3 578 1 0.577350269189626 2.48413771175033
"5M" 1 5 "1(pl)" 3 1073.33333333333 9.45163125250522 5.45690184791497 23.4791536319062
"5M" 2 5 "2" 3 296 1.73205080756888 1 4.30265272974946
"5M" 4 5 "4" 3 159.333333333333 4.50924975282289 2.60341655863555 11.2015973626882
"5M" 8 5 "8" 3 90 2 1.15470053837925 4.96827542350066
"5M" 16 5 "16" 3 107 5.56776436283002 3.21455025366432 13.8310934238456
